635 1761 
209 155 108 
209 137 6849 
209 150 2773 
209 380 196 
209 234 7538 
209 450 1241 
209 509 5659 
155 499 748 
155 407 8141 
155 444 872 
155 223 7965 
155 117 3673 
155 7 3032 
155 475 5780 
155 115 7618 
137 271 2863 
137 525 1 
137 181 9976 
137 87 187 
137 263 451 
137 286 1724 
137 122 1766 
137 423 7656 
137 255 7829 
499 598 6109 
499 51 7023 
499 529 9487 
499 479 1417 
499 56 9431 
499 422 6913 
499 573 9002 
499 279 789 
499 134 2671 
499 217 6590 
271 560 8178 
271 362 5495 
271 582 3259 
271 152 6893 
271 167 7925 
271 13 8561 
271 634 2827 
271 67 7898 
271 576 9592 
598 175 7287 
598 476 3931 
598 282 9911 
598 193 4013 
598 364 1474 
598 111 2338 
407 38 9462 
407 412 5584 
407 355 2409 
407 350 8428 
407 335 1251 
407 275 1203 
525 86 8777 
525 88 1162 
525 200 7420 
525 515 1661 
525 299 2700 
525 371 8056 
38 65 5693 
38 383 9869 
38 265 6560 
38 400 695 
38 604 8516 
38 210 7388 
38 326 4661 
38 203 9146 
86 467 2869 
86 176 4126 
86 19 4353 
86 622 9866 
86 508 7564 
86 459 7991 
86 558 2914 
150 410 8733 
150 488 986 
150 34 9880 
150 629 8810 
150 305 9823 
150 439 97 
150 261 2205 
181 224 9694 
181 78 3938 
181 77 7688 
181 322 7453 
181 497 7092 
467 11 957 
467 240 5817 
467 10 1267 
380 190 9148 
380 472 8679 
380 447 1058 
380 293 2058 
444 46 1644 
444 30 6074 
444 4 3140 
444 478 4913 
11 304 4381 
11 341 4678 
11 274 2607 
410 533 5642 
410 506 9769 
410 302 2610 
410 202 6515 
65 278 6582 
65 571 7504 
65 349 418 
65 95 7332 
65 565 2709 
65 454 2070 
488 149 9012 
488 633 8076 
488 579 2835 
488 146 4199 
175 560 5306 
175 541 2319 
175 528 3506 
175 500 3112 
224 368 52 
224 536 3191 
224 555 6766 
224 149 2651 
224 68 1797 
224 508 2656 
224 404 3688 
383 96 4054 
383 84 4852 
383 567 1797 
383 279 3372 
383 487 1784 
383 341 200 
383 360 4017 
265 384 1970 
265 132 7259 
265 34 4208 
265 587 5603 
265 516 5735 
265 325 5742 
265 628 3631 
304 466 3797 
304 596 9047 
304 294 2144 
223 310 5313 
223 529 9058 
223 582 2341 
223 70 8643 
223 461 84 
223 570 1237 
223 120 3053 
87 420 -5 
87 358 357 
87 584 6861 
278 318 6731 
278 242 4597 
278 552 6104 
278 530 8788 
278 540 998 
533 430 4323 
533 527 9801 
533 105 3104 
533 605 1783 
533 608 592 
96 330 8218 
96 284 9932 
46 473 7673 
46 544 9763 
46 418 6231 
46 138 356 
46 626 66 
30 17 1732 
30 257 1162 
30 63 2105 
30 40 3719 
30 354 7357 
176 199 7097 
176 94 8027 
176 339 8263 
176 269 970 
176 561 5596 
176 581 9611 
176 61 8414 
84 310 2510 
84 424 256 
84 197 5970 
84 226 883 
84 401 462 
384 228 8583 
384 330 9267 
384 623 9149 
384 237 3531 
420 435 3247 
420 593 3691 
420 617 687 
420 332 9486 
51 541 659 
51 78 9869 
17 104 782 
17 189 7401 
17 194 1597 
17 76 7910 
17 161 1325 
310 182 1968 
310 577 1119 
310 34 8977 
310 57 9051 
310 418 5933 
310 554 6289 
310 313 5202 
310 379 1227 
88 622 3894 
88 324 9820 
571 426 9720 
571 73 4922 
473 435 2165 
473 200 3085 
473 55 3439 
473 139 3429 
473 206 8818 
473 388 3552 
182 544 9362 
182 600 9368 
228 128 8281 
228 179 4304 
228 393 9647 
228 243 3429 
228 406 2150 
228 52 8440 
228 233 7320 
228 208 6057 
368 221 5297 
368 174 1233 
