1000 2559 
733 989 1 
733 367 1 
733 273 1 
733 558 1 
733 494 1 
733 857 1 
733 547 1 
733 428 1 
733 922 1 
989 876 1 
989 700 1 
989 7 1 
989 115 1 
989 988 1 
989 938 1 
989 571 1 
989 747 1 
989 244 1 
989 788 1 
989 843 1 
989 687 1 
989 315 1 
989 109 1 
367 787 1 
367 600 1 
367 780 1 
367 484 1 
367 279 1 
876 979 1 
876 742 1 
876 286 1 
876 509 1 
876 67 1 
876 79 1 
876 400 1 
273 461 1 
273 553 1 
273 132 1 
979 147 1 
979 926 1 
979 984 1 
700 990 1 
700 427 1 
700 440 1 
700 126 1 
700 196 1 
700 132 1 
7 669 1 
7 402 1 
7 105 1 
7 60 1 
7 836 1 
7 953 1 
7 48 1 
7 909 1 
7 894 1 
7 551 1 
147 59 1 
147 104 1 
147 881 1 
147 145 1 
147 225 1 
147 172 1 
147 923 1 
147 206 1 
147 8 1 
115 755 1 
115 45 1 
115 386 1 
115 38 1 
115 824 1 
115 683 1 
669 568 1 
669 470 1 
669 195 1 
669 13 1 
669 642 1 
669 761 1 
669 488 1 
990 49 1 
990 484 1 
990 835 1 
990 167 1 
990 89 1 
990 593 1 
990 795 1 
742 130 1 
742 636 1 
742 929 1 
59 585 1 
59 299 1 
59 295 1 
59 459 1 
59 30 1 
59 955 1 
402 492 1 
402 207 1 
402 973 1 
402 830 1 
568 108 1 
568 453 1 
568 69 1 
568 926 1 
568 942 1 
286 931 1 
286 712 1 
286 492 1 
286 491 1 
286 23 1 
286 533 1 
558 941 1 
558 51 1 
558 657 1 
558 667 1 
558 52 1 
558 316 1 
558 849 1 
558 2 1 
988 396 1 
988 383 1 
988 541 1 
988 314 1 
108 759 1 
108 968 1 
108 857 1 
108 210 1 
108 661 1 
108 782 1 
104 698 1 
104 629 1 
104 91 1 
104 117 1 
104 265 1 
104 306 1 
105 151 1 
105 932 1 
105 823 1 
105 256 1 
105 134 1 
105 842 1 
105 199 1 
60 703 1 
60 774 1 
60 252 1 
60 239 1 
60 806 1 
60 680 1 
60 902 1 
60 879 1 
941 252 1 
941 837 1 
509 279 1 
509 896 1 
509 297 1 
881 752 1 
881 769 1 
881 153 1 
881 419 1 
881 998 1 
881 624 1 
881 976 1 
703 632 1 
703 336 1 
703 14 1 
703 298 1 
703 420 1 
703 959 1 
703 163 1 
787 581 1 
787 152 1 
787 352 1 
787 566 1 
787 32 1 
787 668 1 
787 664 1 
787 944 1 
787 258 1 
787 662 1 
470 715 1 
470 96 1 
470 47 1 
51 372 1 
51 63 1 
51 19 1 
931 18 1 
931 363 1 
931 887 1 
931 964 1 
931 547 1 
931 55 1 
931 726 1 
931 219 1 
931 217 1 
632 65 1 
632 272 1 
632 807 1 
581 474 1 
581 464 1 
581 58 1 
581 110 1 
581 634 1 
585 326 1 
585 712 1 
585 290 1 
585 834 1 
585 882 1 
585 730 1 
299 286 1 
299 181 1 
299 791 1 
299 329 1 
299 405 1 
299 241 1 
336 588 1 
336 13 1 
336 11 1 
774 145 1 
774 411 1 
938 261 1 
938 314 1 
938 505 1 
600 890 1 
600 466 1 
600 123 1 
600 969 1 
600 211 1 
600 497 1 
600 940 1 
600 404 1 
18 234 1 
18 515 1 
18 916 1 
18 444 1 
427 374 1 
427 87 1 
427 347 1 
427 998 1 
427 255 1 
427 291 1 
295 177 1 
326 139 1 
326 211 1 
326 518 1 
234 534 1 
234 696 1 
234 689 1 
234 75 1 
571 920 1 
571 79 1 
571 155 1 
571 529 1 
571 240 1 
571 579 1 
14 724 1 
14 495 1 
14 797 1 
14 887 1 
14 565 1 
14 593 1 
374 93 1 
374 521 1 
374 409 1 
151 275 1 
151 701 1 
151 949 1 
151 658 1 
151 613 1 
151 190 1 
755 384 1 
755 753 1 
755 33 1 
755 983 1 
396 569 1 
396 513 1 
396 770 1 
396 272 1 
396 408 1 
